40 Evy Askland 639 New Fork Ave 94490 $178.88
24 Honoria Zaccaro 862 Havenwood Blvd 14293 $3,999.47
77 Candide Thixton 160 Edmonds St 18782 $4,289.47
59 Pam Illian 92 Chiswick Dr 13375 $4,509.67
25 Tessie Stimage 393 Hunters View Way 93074 $5,041.77
79 Ezmeralda Mackenzie 610 Selton Ct 72202 $5,367.88
43 Beatriz Szewczak 985 Hidden Park Circle 63547 $6,100.79
49 Ashleigh Zrake 282 Elgin Dr 86735 $6,909.74
37 Hephzibah Lebrecht 325 Melinda Loop 53272 $7,419.62
27 Zenia Fishbeck 323 Dunbarton Rd 11308 $7,945.74
34 Channa Kuboushek 775 Seville Loop 31932 $8,019.99
29 Dorene Marcelle 138 Pepperwood Pointe Loop 54051 $8,154.73
29 Carlynn Shere 150 Linwood St 81023 $8,475.10
54 Marja Viscia 491 Boulder Fork Ave 49025 $9,389.56
19 Faith Citrano 587 Elk Horn Peak St 11283 $9,841.16
72 Francisca Altmann 513 Harvest Field Circle 54184 $9,856.38
51 Ardeen Meddaugh 817 Pesky Circle 17603 $10,002.93
24 Gill Lammie 75 Varda Way 49070 $10,005.95
50 Avrit Vandusen 840 Lower Huntly Way 77769 $10,396.52
20 Cherida Morono 824 Pickering Circle 87628 $10,640.74
76 Sunshine Gronquist 600 Manhatten St 83164 $11,562.83
19 Corrinne Brodersen 882 Bateman Point Lane 177 $11,723.65
60 Karine Shuler 985 Greenvale Blvd 88405 $11,841.42
75 Mandi Harger 638 Falcon Hurst Rd 79246 $12,419.80
31 Lilyan Pallone 208 Towne Blvd 10701 $14,040.03
76 Karylin Rockhill 598 Le Chateau St 71292 $14,555.01
40 Charlena Stokke 478 Mountain Oaks Loop 74938 $14,678.93
75 Margarete Tomb 789 Scenic Meadow St 66743 $15,839.59
23 Karmen Gonzalea 919 Wayside Ave 1538 $15,877.19
18 Velma Marchese 476 Taft Hill Ave 83956 $16,955.36
56 Kellyann Torngren 660 Equestrian Rd 33770 $18,015.22
68 Florie Vega 984 Shenavall Dr 86112 $18,230.78
42 Laurice Kuarez 796 Ten Sleep Rd 92632 $18,289.48
69 Aleen Brigner 872 Stetson Ct 78446 $18,507.84
36 Consuelo Bryngelson 478 Sun Breeze Circle 53342 $18,585.06
